id,name,type,lat,lng
43695300f964a5208c291fe3,Empire State Building,Building,40.7485995507123,-73.98580648682452
4bcca12bb6c49c7422169491,86th Floor Observation Deck,Scenic Lookout,40.74844544481811,-73.98568124187432
49b7ed6df964a52030531fe3,Times Square,Plaza,40.75757049621567,-73.98581222588662
41102700f964a520d60b1fe3,Macy's,Department Store,40.750571864566616,-73.98872764725327
40b68100f964a5207d001fe3,Madison Square Park,Park,40.74226204193276,-73.98800611495972
3fd66200f964a520d7f11ee3,Bryant Park,Park,40.753621,-73.983265
50b6ed46e4b0a40f1ec2ab32,102nd Floor Observatory,Scenic Lookout,40.748464523271515,-73.98565349535549
4a065273f964a520ec721fe3,M&M's World,Candy Store,40.76008887772021,-73.98427045878545
428a8580f964a52083231fe3,Hard Rock Cafe,Theme Restaurant,40.75703518267677,-73.98661120492818
49b79f54f964a5202c531fe3,Rockefeller Center,Plaza,40.758668466622275,-73.97873009282702
4c90333a6fbf224b93fa518f,Disney store (Disney Store),Toys & Games,40.758434035761724,-73.98550593143882
49e36914f964a5207b621fe3,Herald Square,Plaza,40.750060647717156,-73.98790697209414
4ae6363ef964a520aba521e3,Madison Square Garden,Basketball,40.75075196505169,-73.99354219436646
40e74880f964a520150a1fe3,Shake Shack,Burgers,40.74148371088094,-73.9882180094719
4c5ef77bfff99c74eda954d3,Eataly Flatiron,Gourmet,40.74198696405861,-73.98991319280194
3fd66200f964a520def11ee3,Union Square Park,Park,40.73532302805225,-73.9902427306349
49c27575f964a520f1551fe3,Union Square Greenmarket,Farmer's Market,40.736535541079746,-73.99048376552447
40abf500f964a52035f31ee3,Washington Square Park,Park,40.73081579656163,-73.9974582195282
3fd66200f964a5207de91ee3,Bryant Park Grill,American,40.753433372011514,-73.9833686571817
49ef71e3f964a520b8681fe3,Books Kinokuniya,Bookstore,40.75405320187223,-73.98464945969599
4b5f42a1f964a52094b029e3,Starbucks,Coffee Shop,40.760041,-73.985579
